"Name","totalWells","Runtime","eliteSize","mutationRate","numGenerations","populationSize","tournamentSize","finalMSE","monetaryCost","timeCost"
"dry-sweep-177","13","956","3","0.1","200","50","6","0.12144137918949129","363618.4496570983","36361.844965709824"
"faithful-sweep-266","13","532","4","0.1","100","50","4","0.12123344838619232","363289.8628068205","36328.986280682046"
"light-sweep-211","13","1017","3","0.15","200","50","3","0.12141218036413191","363737.0224922458","36373.702249224574"
"gallant-sweep-94","13","774","2","0.15","150","50","3","0.1214180439710617","363717.8395550237","36371.78395550236"
"giddy-sweep-55","13","325","2","0.1","150","20","3","0.12135028094053268","362416.5150217424","36241.65150217424"
"worldly-sweep-251","13","1677","4","0.05","200","100","4","0.12138959765434264","363605.85829549434","36360.58582954943"
"honest-sweep-154","14","226","3","0.1","100","20","3","0.11878208070993423","388280.1044140132","38828.01044140132"
"worldly-sweep-258","14","278","4","0.1","50","50","6","0.1175789311528206","390563.5906554507","39056.359065545075"
"worthy-sweep-30","14","752","2","0.05","200","20","6","0.11949335038661955","389651.1034709361","38965.110347093614"
"balmy-sweep-53","14","1134","2","0.1","100","100","4","0.12099384516477583","391580.99623513967","39158.09962351396"
"drawn-sweep-244","14","449","4","0.05","200","20","3","0.11788064241409302","390310.3041900869","39031.030419008704"
"toasty-sweep-273","14","343","4","0.1","150","20","6","0.12074685096740724","389746.7438540629","38974.67438540629"
"drawn-sweep-29","14","734","2","0.05","200","20","4","0.11986023932695387","389924.9240616845","38992.49240616845"
"charmed-sweep-271","14","373","4","0.1","150","20","3","0.11736391484737396","390398.36905204854","39039.83690520486"
"charmed-sweep-187","14","572","3","0.15","50","100","3","0.1170547977089882","391155.30760726694","39115.53076072668"
"deep-sweep-223","14","487","4","0.05","50","100","3","0.11929738521575928","390940.6750454887","39094.06750454886"
"smart-sweep-121","14","588","3","0.05","100","50","3","0.11918386071920396","390196.37321345066","39019.637321345064"
"smooth-sweep-163","14","338","3","0.1","150","20","3","0.11699438840150832","390645.66745000903","39064.56674500091"
"honest-sweep-82","14","232","2","0.15","100","20","3","0.11872993409633636","390922.51793578657","39092.25179357865"
"earnest-sweep-224","14","518","4","0.05","50","100","4","0.11900945007801056","390508.89310718","39050.889310718005"
"devoted-sweep-137","14","493","3","0.05","200","20","4","0.1186118796467781","390051.89222560666","39005.189222560664"
"lively-sweep-115","14","569","3","0.05","50","100","3","0.11756078898906708","391048.6543717072","39104.86543717071"
"dulcet-sweep-151","14","534","3","0.1","50","100","3","0.11857834458351137","391357.0875475725","39135.70875475723"
"likely-sweep-83","14","228","2","0.15","100","20","4","0.11905897408723833","391196.73036280024","39119.67303628003"
"glamorous-sweep-292","14","320","4","0.15","50","50","3","0.11671635508537292","391139.0173517544","39113.90173517544"
"fluent-sweep-79","14","862","2","0.15","50","100","3","0.11903951317071916","391285.50547324686","39128.55054732468"
"sunny-sweep-236","14","319","4","0.05","150","20","4","0.11679964512586594","388980.832309403","38898.083230940305"
"sweepy-sweep-152","14","804","3","0.1","50","100","4","0.118709534406662","391266.147567223","39126.61475672231"
"legendary-sweep-230","14","521","4","0.05","100","50","4","0.11810573935508728","390062.0859974435","39006.20859974434"
"rural-sweep-260","14","604","4","0.1","50","100","4","0.118319533765316","391078.9855729642","39107.89855729642"
"worldly-sweep-155","14","380","3","0.1","100","20","4","0.11875544488430025","389593.8906419855","38959.38906419856"
"toasty-sweep-261","14","362","4","0.1","50","100","6","0.11849042773246764","391152.8222140596","39115.28222140597"
"effortless-sweep-231","14","588","4","0.05","100","50","6","0.11980579793453217","389988.4353430781","38998.84353430781"
"fresh-sweep-157","14","534","3","0.1","100","50","3","0.11885514855384828","391122.9423758419","39112.2942375842"
"lemon-sweep-85","14","556","2","0.15","100","50","3","0.12046381831169128","391454.2547033456","39145.42547033455"
"trim-sweep-81","14","584","2","0.15","50","100","6","0.11993375420570374","391351.72998741857","39135.17299874186"
"earnest-sweep-186","15","302","3","0.15","50","50","6","0.1168229952454567","418330.65356492787","41833.065356492785"
"soft-sweep-76","15","718","2","0.15","50","50","3","0.11526598036289216","418993.142925035","41899.31429250351"
"misty-sweep-122","15","626","3","0.05","100","50","4","0.1184895485639572","418301.94253829634","41830.194253829635"
"fearless-sweep-190","15","256","3","0.15","100","20","3","0.11365726590156557","418356.91750148975","41835.69175014898"
"dainty-sweep-48","15","260","2","0.1","100","20","6","0.11466454714536668","417550.9756211025","41755.097562110255"
"splendid-sweep-112","15","300","3","0.05","50","50","3","0.11569052934646606","418193.6483533933","41819.36483533933"
"quiet-sweep-44","15","602","2","0.1","50","100","4","0.1164262443780899","419078.1351675924","41907.813516759226"
"young-sweep-245","15","741","4","0.05","200","20","4","0.11745703220367432","418043.1267763815","41804.312677638154"
"graceful-sweep-263","15","258","4","0.1","100","20","4","0.11435147374868392","416740.28980919346","41674.02898091934"
"lively-sweep-136","15","1180","3","0.05","200","20","3","0.11757266521453856","417618.17861190304","41761.81786119029"
"smart-sweep-77","15","706","2","0.15","50","50","4","0.1149878203868866","418804.81622376246","41880.48162237623"
"sleek-sweep-226","15","253","4","0.05","100","20","3","0.11595576256513596","414571.6472467623","41457.16472467623"
"upbeat-sweep-156","15","361","3","0.1","100","20","6","0.1158791109919548","417574.00286095985","41757.40028609599"
"absurd-sweep-84","15","244","2","0.15","100","20","6","0.11603181064128876","418124.8907153086","41812.48907153084"
"decent-sweep-128","15","355","3","0.05","150","20","4","0.11947423219680786","417248.9179473842","41724.89179473841"
"generous-sweep-148","15","265","3","0.1","50","50","3","0.1177433580160141","417749.134520897","41774.91345208969"
"breezy-sweep-192","15","231","3","0.15","100","20","6","0.11697226762771606","418296.50970634987","41829.65097063498"
"true-sweep-222","15","248","4","0.05","50","50","6","0.11523213237524033","416237.0712900222","41623.707129002214"
